Location,Cage,Cabinet,Rack Units,Elevation,Number of Rack Units,Power Status,FQDN,Manufacturer,Model,Serial Number,Asset Tag,Busines Service,Type of Power,Voltage,Comments
Phoenix-AZ-LVLT,,103,39,39,1,,switch-phx01-01,HP,E3800,5667635,152780,,
Phoenix-AZ-LVLT,,103,40,40,1,,router-phx1-01,Juniper,J6350,SG22DLX1RZ,152779,,
Phoenix-AZ-LVLT,,103,18,18,1,,,ARBOR,Pravail APS 2000,SGH036X7,157876,,
Phoenix-AZ-LVLT,,103,1,1,1,,,HP,ProLiant DL385p G7,,,,
Phoenix-AZ-LVLT,,103,28,28,1,,uvm-phx02,HP,ProLiant DL385p G7,MXQ3410BTH,152782,,
Phoenix-AZ-LVLT,,103,31,31,1,,uvm-phx01,HP,ProLiant DL385p G7,5667680,152781,,
Phoenix-AZ-LVLT,,103,33,33,1,,resolver-phx02,HP,ProLiant DL385p G7,5667681,152784,,
Phoenix-AZ-LVLT,,103,36,36,1,,resolver-phx01,HP,ProLiant DL385p G7,5667633,152783,,
Phoenix-AZ-LVLT,,103,22,22,1,,dnsa-phx01-02,HP,ProLiant DL385p G8,PR1-20431066C,157878,,
Phoenix-AZ-LVLT,,103,24,24,1,,dnsa-phx01-01,HP,ProLiant DL385p G8,MXQ3410BTJ,157877,,
San Jose-CA-EQIX-SV5,,101,19,19,1,on,,HP,E3800,SG22DLX0QD,152755,,
San Jose-CA-EQIX-SV5,,101,"20,21",21,2,,router-sfo01-01,Juniper,J6350,JN11E55DCADB,152756,,
San Jose-CA-EQIX-SV5,,101,"17,18",18,2,on,prv-sjc01-01,ARBOR,Pravail APS 2000,PRI-20131058C,157882,,
San Jose-CA-EQIX-SV5,,101,"8,9",9,2,on,resolver-sfo01,HP,ProLiant DL385 G7,USE21628B7,152754,,
San Jose-CA-EQIX-SV5,,101,"6,7",7,2,on,resolver-sfo02,HP,ProLiant DL385 G7,USE21628C5,152753,,
San Jose-CA-EQIX-SV5,,101,"4,5",5,2,on,uvm-sfo01,HP,ProLiant DL385 G7,USE21628BB,152752,,
San Jose-CA-EQIX-SV5,,101,"2,3",3,2,on,uvm-sfo02,HP,ProLiant DL385 G7,USE21628DN,152751,,
San Jose-CA-EQIX-SV5,,101,"14,15",15,2,on,xtldedge-sjc01.prod.ultradns.net,HP,ProLiant DL385p G8,USE029NJCM,144886,,
San Jose-CA-EQIX-SV5,,101,"12,13",13,2,on,dnsa-sjc01-01,HP,ProLiant DL385p G8,USE343JJYN,157883,,
San Jose-CA-EQIX-SV5,,101,"10,11",11,2,on,dnsa-sjc01-02,HP,ProLiant DL385p G8,USE343JK08,157884,,
San Jose-CA-EQIX-SV5,,102,21,21,1,on,switch-sjc02-01,HP,ProLiant DL385p G8,SG22DLX1V4,152757,,
San Jose-CA-EQIX-SV5,,102,"15,16",16,2,on,dnsa-sjcsp01-01,HP,ProLiant DL385p G8,USE343JK0D,157681,,
San Jose-CA-EQIX-SV5,,102,"13,14",14,2,on,dnsa-sjcsp01-02,HP,ProLiant DL385p G8,USE343JK04,157682,,
San Jose-CA-EQIX-SV5,,102,"11,12",12,2,on,dnsa-sjcsp01-03,HP,ProLiant DL385p G8,USE343JK0T,157683,,
San Jose-CA-EQIX-SV5,,102,"9,10",10,2,on,dnsa-sjcsp01-04,HP,ProLiant DL385p G8,USE343JK0L,157684,,
San Jose-CA-EQIX-SV5,,102,"7,8",8,2,on,dnsa-sjcsp01-05,HP,ProLiant DL385p G8,USE343JK0B,157685,,
San Jose-CA-EQIX-SV5,,102,"5,6",6,2,on,dnsa-sjcsp01-06,HP,ProLiant DL385p G8,USE343JK0R,157686,,
San Jose-CA-EQIX-SV5,,102,"3,4",4,2,on,dnsa-sjcsp01-07,HP,ProLiant DL385p G8,USE343JK09,157687,,
San Jose-CA-EQIX-SV5,,102,"1,2",2,2,on,dnsa-sjcsp01-08,HP,ProLiant DL385p G8,USE343JK0J,157688,,
San Jose-CA-EQIX-SV5,,103,19,19,1,on,sw-sjcsp01-01,Cisco,Catalyst 3750,UNKNOWN,157945,,
San Jose-CA-EQIX-SV5,,103,"20,21",21,2,on,router-sjc02-01,Juniper,J6350,JN11E421DADB,152758,,
San Jose-CA-EQIX-SV5,,103,"26,27",27,2,on,xtldedge-sjcsp01-01.prod.ultradns.net,HP,ProLiant DL385 G7,USE030N15D,,,
San Jose-CA-EQIX-SV5,,103,"24,25",25,2,on,xtldedge-sjcsp01-02.prod.ultradns.net,HP,ProLiant DL385 G7,USE029NJD1,,,
San Jose-CA-EQIX-SV5,,103,"22,23",23,2,on,xtldedge-sjcsp01-03.prod.ultradns.net,HP,ProLiant DL385 G7,USE030N15G,,,
San Jose-CA-EQIX-SV5,,103,"16,17",17,2,on,uvm-sjc02-01,HP,ProLiant DL385 G7,USE21628CN,152759,,
San Jose-CA-EQIX-SV5,,103,"14,15",15,2,on,uvm-sjc02-02,HP,ProLiant DL385 G7,USE21628D1,152760,,
San Jose-CA-EQIX-SV5,,103,"12,13",13,2,on,uvm-sjc02-03,HP,ProLiant DL385 G7,USE21628DF,152761,,
San Jose-CA-EQIX-SV5,,103,"10,11",11,2,on,uvm-sjc02-04,HP,ProLiant DL385 G7,USE21628CB,152762,,
San Jose-CA-EQIX-SV5,,103,"8,9",9,2,on,resolver-sjc02-01,HP,ProLiant DL385 G7,USE216288S,152766,,
San Jose-CA-EQIX-SV5,,103,"6,7",7,2,on,resolver-sjc02-02,HP,ProLiant DL385 G7,USE21628B9,152765,,
San Jose-CA-EQIX-SV5,,103,"5,4",4,2,on,resolver-sjc02-03,HP,ProLiant DL385 G7,USE216288P,152764,,
San Jose-CA-EQIX-SV5,,103,"3,2",2,2,on,resolver-sjc02-04,HP,ProLiant DL385 G7,USE21628BD,152763,,
San Jose-CA-EQIX-SV5,,106,39,39,1,on,stlabmrva ,MRV,4000T ,,10470,,
San Jose-CA-EQIX-SV5,,106,38,38,1,on,sw1sjo,Cisco,Catalyst 4948,FOX1503HDLP,,,
San Jose-CA-EQIX-SV5,,106,30,30,1,on,sw2sjo,Juniper,EX4550,LX0213225220,,,
San Jose-CA-EQIX-SV5,,106,"20,21",21,2,on,ntsc1sjo,CITRIX,Netscaler MPX,JMWKS21EUR,,,
San Jose-CA-EQIX-SV5,,106,"26,27",27,2,on,pcap1,HP,ProLiant DL385 G7,USE124NA6K,148814,,
San Jose-CA-EQIX-SV5,,106,"24,25",25,2,on,admin1,HP,ProLiant DL385 G7,USE124N85X,,,
San Jose-CA-EQIX-SV5,,106,"22,23",23,2,on,admin2,HP,ProLiant DL385 G7,USE124N85T,,,
San Jose-CA-EQIX-SV5,,106,"8,9,10,11,12,13",13,6,on,tms1sjo,ARBOR,TMS-4000,CZC-150MZ,,,
San Jose-CA-EQIX-SV5,,106,"1,2,3,4,5,6,7",7,6,on,tms2sjo,ARBOR,TMS-4000,,,,
San Jose-CA-EQIX-SV5,,107,"6,7,8,9,10,11,12,13",13,8,on,rtr1sjo,Juniper,MX480,JN11CC1E9AFB,148831,,
San Jose-CA-EQIX-SV6,,101,28,28,1,on,,Dell,BH0M8R1,,,,
San Jose-CA-EQIX-SV6,,101,39,39,1,on,,F5,chs406240s,,,,
San Jose-CA-EQIX-SV6,,101,38,38,1,on,,F5,chs406240s,,,,
San Jose-CA-EQIX-SV6,,101,37,37,1,on,,F5,chs406240s,,,,
San Jose-CA-EQIX-SV6,,101,36,36,1,on,,F5,chs406240s,,,,
San Jose-CA-EQIX-SV6,,101,44,44,1,on,,Cisco,COUCAK5CAA,,,,
San Jose-CA-EQIX-SV6,,101,43,43,1,on,,Cisco,COUCAK5CAA,,,,
San Jose-CA-EQIX-SV6,,101,31,31,1,on,,F5,f5-nayq-yaaw,,,,
San Jose-CA-EQIX-SV6,,101,25,25,1,on,,Dell,F9YSGX1,,,,
San Jose-CA-EQIX-SV6,,101,24,24,1,on,,Dell,F9YSGX1,,,,
San Jose-CA-EQIX-SV6,,101,27,27,1,on,,Dell,F9YVGX1,,,,
San Jose-CA-EQIX-SV6,,101,26,26,1,on,,Dell,F9YVGX1,,,,
San Jose-CA-EQIX-SV6,,101,42,42,1,on,,Cisco,FTX1440AH72,,,,
San Jose-CA-EQIX-SV6,,101,40,40,1,on,,Cisco,FTX1440AH72,,,,
San Jose-CA-EQIX-SV6,,101,30,30,1,on,,Dell,FZBYKM1,,,,
San Jose-CA-EQIX-SV6,,101,23,23,1,on,,Dell,JP5GPL1,,,,
San Jose-CA-EQIX-SV6,,101,22,22,1,on,,Dell,JP5GPL1,,,,
San Jose-CA-EQIX-SV6,,101,21,21,1,on,,Dell,JP5GSL1,,,,
San Jose-CA-EQIX-SV6,,102,28,28,1,on,,SourceFire,12091900400018-P,,,,
San Jose-CA-EQIX-SV6,,102,27,27,1,on,,Dell,7LZ6ZK1,,,,
San Jose-CA-EQIX-SV6,,102,22,22,1,on,,Dell,7LZ6ZK1,,,
San Jose-CA-EQIX-SV6,,102,2,2,1,,,TrippLite,9832ACPCB675600063,,,
San Jose-CA-EQIX-SV6,,102,43,43,1,on,,Cisco,FOC1232Y0GF,,,
San Jose-CA-EQIX-SV6,,102,41,41,1,on,,Cisco,FOC1306W5R0,,,
San Jose-CA-EQIX-SV6,,102,36,36,1,on,,Cisco,FOC1524W10W,,,
San Jose-CA-EQIX-SV6,,102,44,44,1,on,,Dell,JP5GSL1,,,
Santa Clara-CA-Savvis,,101,40,40,1,on,,Cisco,2800,COM7R00ARA,,
Santa Clara-CA-Savvis,,101,6,6,1,on,,Cisco,9124,JAF12133881,,
Santa Clara-CA-Savvis,,101,5,5,1,on,,Cisco,9124,JAF12174912,,
Santa Clara-CA-Savvis,,101,23,23,1,on,,Foundry,4G-PREM,CH16080355,,
Santa Clara-CA-Savvis,,101,22,22,1,on,,Foundry,4G-PREM,CH16080346,,
Santa Clara-CA-Savvis,,101,19,19,1,on,,HP,ProLiant DL360 G7,USE129NDX3,,
Santa Clara-CA-Savvis,,101,14,14,1,on,,HP,ProLiant DL360 G7,USE129NDVT,,
Santa Clara-CA-Savvis,,101,38,38,1,on,,Juniper,EX4200,BM0208124245,,
Santa Clara-CA-Savvis,,101,37,37,1,on,,Juniper,EX4200,BP0208180088,,
Santa Clara-CA-Savvis,,101,36,36,1,on,,Juniper,EX4200,BM0208124464,,
Santa Clara-CA-Savvis,,101,35,35,1,on,,Juniper,EX4200,BP0208180093,,,
Santa Clara-CA-Savvis,,101,18,18,1,on,,IBM,X3650,99N2988,,,
Santa Clara-CA-Savvis,,101,13,13,1,on,,IBM,X3650,KQHLXP3,,,
Santa Clara-CA-Savvis,,102,27,27,1,on,,HP,ProLiant DL360 G7,USE129NDX5,,,
Santa Clara-CA-Savvis,,102,26,26,1,on,,HP,ProLiant DL360 G7,USE204T214,,,
Santa Clara-CA-Savvis,,102,24,24,1,on,,HP,ProLiant DL360 G7,USE129NDVS,,,
Santa Clara-CA-Savvis,,102,23,23,1,on,,HP,ProLiant DL360 G7,USE129NDX2,,,
Santa Clara-CA-Savvis,,102,22,22,1,on,,HP,ProLiant DL360 G7,USE129NDX1,,,
Santa Clara-CA-Savvis,,102,21,21,1,on,,HP,ProLiant DL360 G7,USE129NDXZ,,,
Santa Clara-CA-Savvis,,102,32,32,1,on,,HP,ProLiant DL380 G7,USE039N55B,,,
Santa Clara-CA-Savvis,,102,19,19,1,on,,HP,ProLiant DL380 G7,USE129NDM0,,,
Santa Clara-CA-Savvis,,102,17,17,1,on,,HP,ProLiant DL380 G7,USE129NDM4,,,
Santa Clara-CA-Savvis,,102,14,14,1,on,,HP,ProLiant DL380 G7,USE130N0N5,,,
Santa Clara-CA-Savvis,,102,9,9,1,on,,HP,ProLiant DL380 G7,USE130N0N7,,,
Santa Clara-CA-Savvis,,102,5,5,1,on,,HP,ProLiant DL380 G7,USE130N0NA,,,
Santa Clara-CA-Savvis,,103,27,27,1,on,,HP,ProLiant DL360 G7,USE129NDX4,,,
Santa Clara-CA-Savvis,,103,26,26,1,on,,HP,ProLiant DL360 G7,USE204T21C,,,
Santa Clara-CA-Savvis,,103,24,24,1,on,,HP,ProLiant DL360 G7,USE129NDVX,,,
Santa Clara-CA-Savvis,,103,23,23,1,on,,HP,ProLiant DL360 G7,USE129NDVR,,,
Santa Clara-CA-Savvis,,103,22,22,1,on,,HP,ProLiant DL360 G7,USE129NDX0,,,
Santa Clara-CA-Savvis,,103,21,21,1,on,,HP,ProLiant DL360 G7,USE129NDVV,,,
Santa Clara-CA-Savvis,,103,32,32,1,on,,HP,ProLiant DL380 G7,USE039N55C,,,
Santa Clara-CA-Savvis,,103,19,19,1,on,,HP,ProLiant DL380 G7,USE129NDM5,,,
Santa Clara-CA-Savvis,,103,17,17,1,on,,HP,ProLiant DL380 G7,USE129NDM1,,,
Santa Clara-CA-Savvis,,103,14,14,1,on,,HP,ProLiant DL380 G7,USE130N0N6,,,
Santa Clara-CA-Savvis,,103,9,9,1,on,,HP,ProLiant DL380 G7,USE130N0N8,,,
Santa Clara-CA-Savvis,,103,5,5,1,on,,HP,ProLiant DL380 G7,USE130N0N9,,,
Santa Clara-CA-Savvis,,104,26,26,1,on,,HP,ProLiant DL360 G7,USE204T20Y,,,
Santa Clara-CA-Savvis,,104,24,24,1,on,,HP,ProLiant DL360 G7,USE204T21J,,,
Santa Clara-CA-Savvis,,104,23,23,1,on,,HP,ProLiant DL360 G7,USE204T211,,,
Santa Clara-CA-Savvis,,104,22,22,1,on,,HP,ProLiant DL360 G7,USE204T219,,,
Santa Clara-CA-Savvis,,104,21,21,1,on,,HP,ProLiant DL360 G7,USE204T218,,,
Santa Clara-CA-Savvis,,104,19,19,1,on,,HP,ProLiant DL380 G7,USE204T460,,,
Santa Clara-CA-Savvis,,104,17,17,1,on,,HP,ProLiant DL380 G7,USE204T468,,,
Santa Clara-CA-Savvis,,105,26,26,1,on,,HP,ProLiant DL360 G7,USE204T21N,,,
Santa Clara-CA-Savvis,,105,24,24,1,on,,HP,ProLiant DL360 G7,USE204T461,,,
Santa Clara-CA-Savvis,,105,23,23,1,on,,HP,ProLiant DL360 G7,USE204T212,,,
Santa Clara-CA-Savvis,,105,22,22,1,on,,HP,ProLiant DL360 G7,USE204T21P,,,
Santa Clara-CA-Savvis,,105,21,21,1,on,,HP,ProLiant DL360 G7,USE204T21F,,,
Santa Clara-CA-Savvis,,105,19,19,1,on,,HP,ProLiant DL380 G7,USE204T465,,,
Santa Clara-CA-Savvis,,105,17,17,1,on,,HP,ProLiant DL380 G7,USE204T461,,,
Santa Clara-CA-Savvis,,202,21,21,1,on,,Cisco,2800,COM7R00ARA,,,
Santa Clara-CA-Savvis,,202,37,37,1,on,,Cisco,5510,JMX1038K0VU,,,
Santa Clara-CA-Savvis,,202,22,22,1,on,,Brocade,ADX1000,E30550F03Y,,,
Santa Clara-CA-Savvis,,202,20,20,1,on,,Brocade,ADX1000,E32520J0WL,,,
Santa Clara-CA-Savvis,,202,12,12,1,on,,Cisco,ASA 5505,JMX162940W2,,,
Santa Clara-CA-Savvis,,202,44,44,1,on,,Juniper,EX4200,BM0211074497,,,
Santa Clara-CA-Savvis,,202,42,42,1,on,,Juniper,EX4200,BM0211208114,,,
Santa Clara-CA-Savvis,,202,40,40,1,on,,Juniper,EX4200,BM0210483243,,,
Santa Clara-CA-Savvis,,202,11,11,1,on,,Cisco,MDS 9222i,JAB12251V473,,,
Santa Clara-CA-Savvis,,202,18,18,1,on,,Juniper,MX80,ABCD2980,,,
Santa Clara-CA-Savvis,,202,13,13,1,on,,AT&T,NVG510,1.63607E+14,,,
Santa Clara-CA-Savvis,,202,4,4,1,on,,HP,ProLiant DL360 G7,USE119N7PM,,,
Santa Clara-CA-Savvis,,202,16,16,1,on,,Juniper,SRX 550,,,,
Santa Clara-CA-Savvis,,202,3,3,1,on,,SUN,X4150,0818QAR3E2,,,
Santa Clara-CA-Savvis,,202,2,2,1,on,,SUN,X4150,0818QAR3F6,,,
Santa Clara-CA-Savvis,,203,32,32,1,on,,HP,ProLiant DL360 G7,MXQ2320386,,,
Santa Clara-CA-Savvis,,203,31,31,1,on,,HP,ProLiant DL380 G7,USE039N55D,,,
Santa Clara-CA-Savvis,,203,29,29,1,on,,HP,ProLiant DL380 G7,2UX95300VD,,,
Santa Clara-CA-Savvis,,203,25,25,1,on,,HP,ProLiant DL380 G7,2UUX00306GU,,,
Santa Clara-CA-Savvis,,203,18,18,1,on,,HP,ProLiant DL380 G7,USE039N557,,,
Santa Clara-CA-Savvis,,203,16,16,1,on,,HP,ProLiant DL380 G7,USE039N55F,,,
Santa Clara-CA-Savvis,,203,12,12,1,on,,HP,ProLiant DL380 G7,USE119N7XM,,,
Santa Clara-CA-Savvis,,203,9,9,1,on,,HP,ProLiant DL380 G7,USE119N7XN,,,
Santa Clara-CA-Savvis,,203,5,5,1,on,,HP,ProLiant DL380 G7,USE233C0KE,,,
Santa Clara-CA-Savvis,,203,3,3,1,on,,HP,ProLiant DL380 G7,USE233C0KD,,,
Santa Clara-CA-Savvis,,203,22,22,1,on,,HP,ProLiant DL380 G8,2M232800MQ,,,
Santa Clara-CA-Savvis,,203,20,20,1,on,,HP,ProLiant DL380 G8,2M232800MR,,,
Santa Clara-CA-Savvis,,203,13,13,1,on,,SEAGATE,SRD00F2,NA4JDSWM,,,
Santa Clara-CA-Savvis,,204,23,23,1,on,,HP,ProLiant DL380 G7,USE119N5F2,,,
Santa Clara-CA-Savvis,,204,19,19,1,on,,HP,ProLiant DL380 G7,USE119N5F7,,,
Santa Clara-CA-Savvis,,204,14,14,1,on,,HP,ProLiant DL380 G7,USE119N5F9,,,
Santa Clara-CA-Savvis,,204,10,10,1,on,,HP,ProLiant DL380 G7,USE119N5F3,,,
Santa Clara-CA-Savvis,,204,5,5,1,on,,HP,ProLiant DL380 G7,USE119N6KN,,,
Santa Clara-CA-Savvis,,205,13,13,1,on,,HP,ProLiant DL360 G7,USE119N7P5,,,
Santa Clara-CA-Savvis,,205,12,12,1,on,,HP,ProLiant DL360 G7,USE119N7P4,,,
Santa Clara-CA-Savvis,,205,10,10,1,on,,HP,ProLiant DL360 G7,USE119N7G5,,,
Santa Clara-CA-Savvis,,205,9,9,1,on,,HP,ProLiant DL360 G7,USE119N7G3,,,
Santa Clara-CA-Savvis,,205,8,8,1,on,,HP,ProLiant DL360 G7,USE119N7G8,,,
Santa Clara-CA-Savvis,,205,7,7,1,on,,HP,ProLiant DL360 G7,USE119N7G7,,,
Santa Clara-CA-Savvis,,205,5,5,1,on,,HP,ProLiant DL360 G7,USE119N7G9,,,
Santa Clara-CA-Savvis,,205,4,4,1,on,,HP,ProLiant DL360 G7,USE119N7G4,,,
Santa Clara-CA-Savvis,,205,3,3,1,on,,HP,ProLiant DL360 G7,USE119N7G6,,,
Santa Clara-CA-Savvis,,205,2,2,1,on,,HP,ProLiant DL360 G7,USE119N7GA,,,
Santa Clara-CA-Savvis,,206,10,10,1,on,,HP,ProLiant DL360 G7,USE119N7Q2,,,
Santa Clara-CA-Savvis,,206,9,9,1,on,,HP,ProLiant DL360 G7,USE119N7PA,,,
Santa Clara-CA-Savvis,,206,8,8,1,on,,HP,ProLiant DL360 G7,USE119N7Q1,,,
Santa Clara-CA-Savvis,,206,7,7,1,on,,HP,ProLiant DL360 G7,USE119N7PF,,,
Santa Clara-CA-Savvis,,206,5,5,1,on,,HP,ProLiant DL360 G7,USE119N7PG,,,
Santa Clara-CA-Savvis,,206,4,4,1,on,,HP,ProLiant DL360 G7,USE119N7PP,,,
Santa Clara-CA-Savvis,,206,3,3,1,on,,HP,ProLiant DL360 G7,USE119N7PX,,,
Santa Clara-CA-Savvis,,206,2,2,1,on,,HP,ProLiant DL360 G7,USE119N7PL,,,
Santa Clara-CA-Savvis,,302,21,21,1,on,,Cisco,2800,FTX1227A120,,,
Santa Clara-CA-Savvis,,302,22,22,1,on,,Brocade,ADX1000,E30524E014,,,
Santa Clara-CA-Savvis,,302,20,20,1,on,,Brocade,ADX1000,E32520J0WK,,,
Santa Clara-CA-Savvis,,302,44,44,1,on,,Juniper,EX4200,BP0211219462,,,
Santa Clara-CA-Savvis,,302,42,42,1,on,,Juniper,EX4200,BP0208180154,,,
Santa Clara-CA-Savvis,,302,40,40,1,on,,Juniper,EX4200,BP0208137929,,,
Santa Clara-CA-Savvis,,302,11,11,1,on,,Cisco,MDS 9222i,JAB1224N3XC,,,
Santa Clara-CA-Savvis,,302,18,18,1,on,,Juniper,MX80,ABCD2978,,,
Santa Clara-CA-Savvis,,302,4,4,1,on,,HP,ProLiant DL360 G7,USE119N7PB,,,
Santa Clara-CA-Savvis,,302,16,16,1,on,,Juniper,SRX 550,,,,
Santa Clara-CA-Savvis,,302,3,3,1,on,,SUN,X4150,0818QAR3EC,,,
Santa Clara-CA-Savvis,,302,2,2,1,on,,SUN,X4150,0818QAR3E3,,,
Santa Clara-CA-Savvis,,303,32,32,1,on,,HP,ProLiant DL360 G7,MXQ2320387,,,
Santa Clara-CA-Savvis,,303,31,31,1,on,,HP,ProLiant DL360 G7,USE039N55A,,,
Santa Clara-CA-Savvis,,303,25,25,1,on,,HP,ProLiant DL360 G7,2UX014037L,,,
Santa Clara-CA-Savvis,,303,18,18,1,off,,HP,ProLiant DL360 G7,USE039N558,,,
Santa Clara-CA-Savvis,,303,16,16,1,on,,HP,ProLiant DL360 G7,USE039N559,,,
Santa Clara-CA-Savvis,,303,12,12,1,on,,HP,ProLiant DL360 G7,USE119N7XP,,,
Santa Clara-CA-Savvis,,303,9,9,1,on,,HP,ProLiant DL360 G7,USE119N7XQ,,,
Santa Clara-CA-Savvis,,303,5,5,1,on,,HP,ProLiant DL360 G7,USE233C0KA,,,
Santa Clara-CA-Savvis,,303,3,3,1,on,,HP,ProLiant DL360 G7,USE233C0KK,,,
Santa Clara-CA-Savvis,,303,29,29,1,on,,HP,ProLiant DL360 G6,2UX014037Y,,,
Santa Clara-CA-Savvis,,303,22,22,1,on,,HP,ProLiant DL380p G8,2M232800MP,,,
Santa Clara-CA-Savvis,,303,20,20,1,on,,HP,ProLiant DL380p G8,2M232800MN,,,
Santa Clara-CA-Savvis,,304,23,23,1,on,,HP,ProLiant DL380 G7,USE119N5F8,,,
Santa Clara-CA-Savvis,,304,19,19,1,on,,HP,ProLiant DL380 G7,USE119N5F4,,,
Santa Clara-CA-Savvis,,304,14,14,1,on,,HP,ProLiant DL380 G7,USE119N5F6,,,
Santa Clara-CA-Savvis,,304,10,10,1,on,,HP,ProLiant DL380 G7,USE119N5F5,,,
Santa Clara-CA-Savvis,,304,5,5,1,on,,HP,ProLiant DL380 G7,USE119N5KP,,,
Santa Clara-CA-Savvis,,305,13,13,1,on,,HP,ProLiant DL360 G7,USE119N7Q0,,,
Santa Clara-CA-Savvis,,305,12,12,1,on,,HP,ProLiant DL360 G7,USE119N7PJ,,,
Santa Clara-CA-Savvis,,305,10,10,1,on,,HP,ProLiant DL360 G7,USE119N7PR,,,
Santa Clara-CA-Savvis,,305,9,9,1,on,,HP,ProLiant DL360 G7,USE119N7P8,,,
Santa Clara-CA-Savvis,,305,8,8,1,on,,HP,ProLiant DL360 G7,USE119N7PV,,,
Santa Clara-CA-Savvis,,305,7,7,1,on,,HP,ProLiant DL360 G7,USE119N7PH,,,
Santa Clara-CA-Savvis,,305,5,5,1,on,,HP,ProLiant DL360 G7,USE119N7PZ,,,
Santa Clara-CA-Savvis,,305,4,4,1,on,,HP,ProLiant DL360 G7,USE119N7PT,,,
Santa Clara-CA-Savvis,,305,3,3,1,on,,HP,ProLiant DL360 G7,USE119N7P9,,,
Santa Clara-CA-Savvis,,305,2,2,1,on,,HP,ProLiant DL360 G7,USE119N7PK,,,
Santa Clara-CA-Savvis,,306,10,10,1,on,,HP,ProLiant DL360 G7,USE119N7PN,,,
Santa Clara-CA-Savvis,,306,9,9,1,on,,HP,ProLiant DL360 G7,USE119N7Q3,,,
Santa Clara-CA-Savvis,,306,8,8,1,on,,HP,ProLiant DL360 G7,USE119N7PQ,,,
Santa Clara-CA-Savvis,,306,7,7,1,on,,HP,ProLiant DL360 G7,USE119N7P7,,,
Santa Clara-CA-Savvis,,306,5,5,1,on,,HP,ProLiant DL360 G7,USE119N7PC,,,
Santa Clara-CA-Savvis,,306,4,4,1,on,,HP,ProLiant DL360 G7,USE119N7PD,,,
Santa Clara-CA-Savvis,,306,3,3,1,on,,HP,ProLiant DL360 G7,USE119N7PS,,,
Santa Clara-CA-Savvis,,306,2,2,1,on,,HP,ProLiant DL360 G7,USE119N7P6,,,
Singapore-SGP-EQIX-SG1,,R0403,"10,11",11,2,,,NID,200,,O3334,,
Singapore-SGP-EQIX-SG1,,R0403,31,31,1,,spsc208b,Netscreen,208,OO43O32OO3OOOO93,O32O3,,
Singapore-SGP-EQIX-SG1,,R0403,33,33,1,,spsc208a,Netscreen,208,,O1OO48,,
Singapore-SGP-EQIX-SG1,,R0403,27,27,1,,spg281mb,Cisco,2811,FCZ102171MX,O9944,,
Singapore-SGP-EQIX-SG1,,R0403,29,29,1,,spg281mb,Cisco,2811,FCZ102171NM,O9943,,
Singapore-SGP-EQIX-SG1,,R0403,43,43,1,,spre7206a,Cisco,2800,8OO-O214-OO-REVD,OO3338,,,,
