Location,Cage,Cabinet,Rack Units,Elevation,Number of Rack Units,Power Status,FQDN,Manufacturer,Model,Serial Number,Asset Tag,Busines Service,Type of Power,Voltage,Comments
Singapore-SGP-EQIX-SG1,,R0403,"39,40,41,42",42,4,,,Cisco,7200 VXR,,,,,,
Singapore-SGP-EQIX-SG1,,R0403,24,24,1,,spgs29605b,Cisco,Ctalyst 2960 S,F0C1028X3A7,O9907,,,,
Singapore-SGP-EQIX-SG1,,R0403,25,25,1,,spgs29605b,Cisco,Ctalyst 2960 S,FOC1028X411,O9906,,,,
Singapore-SGP-EQIX-SG1,,R0403,16,16,1,,,Dell,Power Edge 1950,,O10046,,,,
Singapore-SGP-EQIX-SG1,,R0403,19,19,1,,,Dell,Power Edge 1950,,O1OO15,,,,
Singapore-SGP-EQIX-SG1,,R0403,22,22,1,,,Dell,Power Edge 1950,,O1OO14,,,,
Singapore-SGP-EQIX-SG1,,R0403,32,32,1,,spscvpn1,Juniper,,,O32O4,,,,
Singapore-SGP-EQIX-SG1,,R0603,"42,43",43,2,,rtr-sin01-01,Juniper,J6350,JN1204DBIABD,155306,,,,
Singapore-SGP-EQIX-SG1,,R0603,"25,26",26,2,,dnsa-sin01-02,ARBOR,Pravail APS 2000,SGH33468CNW,,,,,
Singapore-SGP-EQIX-SG1,,R0603,"21,22",22,2,,spc5c0n1,HP,ProLiant DL385p G7,FTX1032A30N,18036,,,,
Singapore-SGP-EQIX-SG1,,R0603,"23,24",24,2,,dnsa-sin01-01,HP,ProLiant DL385p G7,SGH33468CNT,,,,,
Singapore-SGP-EQIX-SG1,,R0603,"27,28",28,2,,,HP,ProLiant DL385p G7,PRI-201131018C,,,,,
Singapore-SGP-EQIX-SG1,,R0603,"29,30",30,2,,uvm-sin-02,HP,ProLiant DL385p G7,E39975-002,156086,,,,
Singapore-SGP-EQIX-SG1,,R0603,"31,32",32,2,,uvm-sin-01-01,HP,ProLiant DL385p G7,,156084,,,,
Singapore-SGP-EQIX-SG1,,R0603,"33,34",34,2,,resolver-sin01-01,HP,ProLiant DL385p G7,,155522,,,,
Singapore-SGP-EQIX-SG1,,R0603,"37,38",38,2,,resolver-sin01-02,HP,ProLiant DL385p G7,,,,
Singapore-SGP-EQIX-SG1,,R0603,40,40,1,,sw=-sin01-01,HP,ProLiant DL385p G7,3G2BG0V3PF,,,
Singapore-SGP-EQIX-SG1,,R1420,"2,3",3,2,,dnsa-sin01-08,HP,ProLiant DL385p G8,SGH33951MB,157645,,
Singapore-SGP-EQIX-SG1,,R1420,"4,5",5,2,,dnsa-sin01-07,HP,ProLiant DL385p G8,SGH33951M7,157646,,
Singapore-SGP-EQIX-SG1,,R1420,"6,7",7,2,,dnsa-sin01-06,HP,ProLiant DL385p G8,SGH33951MF,157647,,
Singapore-SGP-EQIX-SG1,,R1420,"8,9",9,2,,dnsa-sin01-05,HP,ProLiant DL385p G8,SGH33951M9,157648,,
Singapore-SGP-EQIX-SG1,,R1420,"10,11",11,2,,dnsa-sin01-04,HP,ProLiant DL385p G8,SGH33951M5,157649,,
Singapore-SGP-EQIX-SG1,,R1420,"12,13",13,2,,dnsa-sin01-03,HP,ProLiant DL385p G8,SGH33951MJ,157650,,
Singapore-SGP-EQIX-SG1,,R1420,"14,15",15,2,,dnsa-sin01-02,HP,ProLiant DL385p G8,SGH33951M3,1577651,,
Singapore-SGP-EQIX-SG1,,R1420,"16,17",17,2,,dnsa-sin01-01,HP,ProLiant DL385p G8,SGH33951MD,147652,,
Singapore-SGP-EQIX-SG1,,R1421,"39,40",40,2,,crt-sins01-01,Juniper,MX5,,157668,,
Singapore-SGP-EQIX-SG1,,R1421,"2,3",3,2,,uvm-sinsp01-04,HP,ProLiant DL385p G8,SGH33951LN,157653,,
Singapore-SGP-EQIX-SG1,,R1421,"4,5",5,2,,uvm-sinsp01-03,HP,ProLiant DL385p G8,SGH33951LR,157654,,
Singapore-SGP-EQIX-SG1,,R1421,"6,7",7,2,,uvm-sinsp01-02,HP,ProLiant DL385p G8,SGH33951LL,157655,,
Singapore-SGP-EQIX-SG1,,R1421,"8,9",9,2,,uvm-sinsp01-01,HP,ProLiant DL385p G8,SGH33951LJ,157656,,
Singapore-SGP-EQIX-SG1,,R1421,"10,11",11,2,,resolver-sinsp01-04,HP,ProLiant DL385p G8,SGH33951LT,157657,,
Singapore-SGP-EQIX-SG1,,R1421,"12,13",13,2,,resolver-sinsp01-03,HP,ProLiant DL385p G8,SGH33951LW,157658,,
Singapore-SGP-EQIX-SG1,,R1421,"14,15",15,2,,resolver-sinsp01-02,HP,ProLiant DL385p G8,SGH33951M1,157659,,
Singapore-SGP-EQIX-SG1,,R1421,"16,17",17,2,,resolver-sinsp01-01,HP,ProLiant DL385p G8,SGH33951LY,157660,,
Singapore-SGP-EQIX-SG1,,R1421,"20,21",21,2,,xtldedge-sins01-03,HP,ProLiant DL385p G8,SGH33951LB,157661,,
Singapore-SGP-EQIX-SG1,,R1421,"22,23",23,2,,xtldedge-sins01-02,HP,ProLiant DL385p G8,SGH33951LF,157662,,
Singapore-SGP-EQIX-SG1,,R1421,"24,25",25,2,,xtldedge-sins01-01,HP,ProLiant DL385p G8,SGH33951LD,157663,,
Singapore-SGP-EQIX-SG1,,R1422,39,39,1,,,MRV,4000T,,157670,,
Singapore-SGP-EQIX-SG1,,R1422,19,19,1,,,Cisco,Catalyst 3750 X,(01)07898362232633,,,
Singapore-SGP-EQIX-SG1,,R1422,7,7,1,,,Juniper,EX4550,LX0213408671,,,
Singapore-SGP-EQIX-SG1,,R1422,"5,6,7,8,9,10,11,12,13,14,15,16,17,18",18,14,,rtr1sin,Juniper,MX960,,157669,,
Singapore-SGP-EQIX-SG1,,R1422,22.23,23,2,,,HP,ProLiant DL385p G7,SGH3384E0L,157664,,
Singapore-SGP-EQIX-SG1,,R1422,24.25,25,2,,,HP,ProLiant DL385p G7,SGH3384E0W,157666,,
Singapore-SGP-EQIX-SG1,,R1422,26.27,27,2,,,HP,ProLiant DL385p G7,SGH3384E0T,,,
Singapore-SGP-EQIX-SG1,,R1422,"1,2,3,4,5,6",6,6,,,ARBOR,,,,,
Singapore-SGP-EQIX-SG1,,R1422,20.21,21,2,,,CITRIX,,MJUJK29TN,157665,,
Sydney-AUS-EQIX,,527,28,28,1,,sw-syd01,HP,E3800,,,,
Sydney-AUS-EQIX,,527,"30,31",31,2,,rtr-syd01-01,Juniper,J6350,,,,
Sydney-AUS-EQIX,,527,"14,15",15,2,,,ARBOR,Pravail APS 2000,,,,
Sydney-AUS-EQIX,,527,"33,34,35",35,3,,mn1au (currently powered off),HP,ProLiant DL385 G5,,,,
Sydney-AUS-EQIX,,527,"25,26",26,2,,resolver.syd01,HP,ProLiant DL385 G7,,,,
Sydney-AUS-EQIX,,527,"22,23",23,2,,resolver.syd02,HP,ProLiant DL385 G7,,,,
Sydney-AUS-EQIX,,527,"19,20",20,2,,uvm.syd01,HP,ProLiant DL385 G7,,,,
Sydney-AUS-EQIX,,527,"16,17",17,2,,uvm.syd02,HP,ProLiant DL385 G7,,,,
Sydney-AUS-EQIX,,527,"12,13",13,2,,dnsa.syd01-01,HP,ProLiant DL385 G8,,,,
Sydney-AUS-EQIX,,527,"10,11",11,2,,dnsa.syd01-02,HP,ProLiant DL385 G8,,,,
Sydney-AUS-EQIX,,527,"40,41",41,2,,mn1au,HP,ProLint DL380 G5,,,,
Sydney-AUS-EQIX,,527,39,39,1,,auulmnssg140a,Juniper,SSG 140,,,,
Taipei-TWN-NTT,,4H33,,,,,,HP,E3800,,,,
Taipei-TWN-NTT,,4H33,,,,,,Juniper,J6350,,,,
Taipei-TWN-NTT,,4H33,,,,,,ARBOR,Pravail APS 2000,,,,
Taipei-TWN-NTT,,4H33,,,,,resolver-ver-spe-01-01,HP,ProLiant DL385 G7,,,,
Taipei-TWN-NTT,,4H33,,,,,resolver-ver-spe-01-02,HP,ProLiant DL385 G7,,,,
Taipei-TWN-NTT,,4H33,,,,,uvm-spe-01-01,HP,ProLiant DL385 G7,,,,
Taipei-TWN-NTT,,4H33,,,,,uvm-spe-01-02,HP,ProLiant DL385 G7,,,,
Tokyo-JPN-NTT,,T6A113,37,37,1,on,sw-nrt01-01,HP,E3800,SG26G0V4JM,,,
Tokyo-JPN-NTT,,T6A113,"39,40",40,2,on,rtr-nrt01-01,Juniper ,J6350,JN11F8DF7ADB,,,
Tokyo-JPN-NTT,,T6A113,"19,20",20,2,on,,ARBOR ,Pravail APS 2000,PR1:20131086C,,,
Tokyo-JPN-NTT,,T6A113,"34,35",35,2,on,resolver-nrt-01-01,HP,ProLiant DL385p G8,USE248N9KM,,,
Tokyo-JPN-NTT,,T6A113,"31,32",32,2,on,resolver-nrt-01-02,HP,ProLiant DL385p G8,USE248N9KF,,,
Tokyo-JPN-NTT,,T6A113,"28,29",29,2,on,uvm-nrt-01-01,HP,ProLiant DL385p G8,USE249NMXT,,,
Tokyo-JPN-NTT,,T6A113,"25,26",26,2,on,uvm-nrt-01-02,HP,ProLiant DL385p G8,USE249NMX6,,,
Tokyo-JPN-NTT,,T6A113,"15,16",16,2,on,dnsa-nrt-01-01,HP,ProLiant DL385p G8,ARB200489-B,,,
Tokyo-JPN-NTT,,T6A113,"13,14",14,2,on,dnsa-nrt-01-02,HP,ProLiant DL385p G8,2M41413D0A,,,
Tokyo-JPN-NTT,,T6A113,23,23,1,on,129001563 rev 1b,,,,,,
Toronto-CAN-LVLT,,,40,40,1,,,HP,E3800,,152822,,
Toronto-CAN-LVLT,,,42,42,1,,,Juniper,J6350,,152821,,
Toronto-CAN-LVLT,,,27,27,1,,,ARBOR,Pravail APS 2000,,157888,,
Toronto-CAN-LVLT,,,38,38,1,,,HP,ProLiant DL385 G7,,152825,,
Toronto-CAN-LVLT,,,35,35,1,,,HP,ProLiant DL385 G7,,152826,
Toronto-CAN-LVLT,,,32,32,1,,,HP,ProLiant DL385 G7,,152823,
Toronto-CAN-LVLT,,,29,29,1,,,HP,ProLiant DL385 G7,,152824,
Toronto-CAN-LVLT,,,25,25,1,,,HP,ProLiant DL385p G8,,157889,
Toronto-CAN-LVLT,,,23,23,1,,,HP,ProLiant DL385p G8,,157890,
Vancouver-CA-Cologix,,,38,38,1,,switch yvr01-01,HP,E3800,,,
Vancouver-CA-Cologix,,,"40,41",41,2,,router yvr01-01,Juniper,J6350,,,
Vancouver-CA-Cologix,,,"23,24",34,2,,,ARBOR,Pravail APS 2000,,157885,
Vancouver-CA-Cologix,,,,,,,,HP,ProLiant DL385 G7,1026XF7003,,
Vancouver-CA-Cologix,,,"21,22",22,2,,,HP,ProLiant DL385p G8,,157886,
Vancouver-CA-Cologix,,,"19,20",20,2,,,HP,ProLiant DL385p G8,,157887,
Vancouver-CA-Cologix,,,"35,36",36,2,,resolver yvr01,,,,152832,
Vancouver-CA-Cologix,,,"32,33",33,2,,resolver yvr02,,,,152831,
Vancouver-CA-Cologix,,,"29,30",30,2,,resolver uvm-yvr-01,,,,152830,
Vancouver-CA-Cologix,,,"26,27",37,2,,resolver uvm-yvr-02,,,,152829,
Atlanta-GA-CenturyLink,,1,36,36,1,,,F5,,,,
Atlanta-GA-CenturyLink,,1,35,35,1,,,F5,,
Atlanta-GA-CenturyLink,,1,34,34,1,,,F5,,
Atlanta-GA-CenturyLink,,1,28,28,1,,,Dell,Power Edge R300,
Atlanta-GA-CenturyLink,,1,27,27,1,,,Dell,Power Edge R300,
Atlanta-GA-CenturyLink,,1,26,26,1,,,Dell,Power Edge R300,
Atlanta-GA-CenturyLink,,1,25,25,1,,,Dell,Power Edge R300,
Atlanta-GA-CenturyLink,,1,24,24,1,,,Dell,Power Edge R1435,
Atlanta-GA-CenturyLink,,1,23,23,1,,,Dell,Power Edge R300,
Atlanta-GA-CenturyLink,,1,22,22,1,,,Dell,Power Edge R300,
Atlanta-GA-CenturyLink,,1,"20,21",21,2,,,,,
Atlanta-GA-CenturyLink,,1,"18,19",19,2,,,,,
Atlanta-GA-CenturyLink,,1,"16,17",17,2,,,Dell,Power Edge R720,
Atlanta-GA-CenturyLink,,1,"14,15",15,2,,,Dell,Power Edge R720,
Atlanta-GA-CenturyLink,,1,"12,13",13,2,,,Dell,Power Edge R720,
Beijing-CHN-CNNIC,,A614,2,2,1,,,Juniper,J6350,
Beijing-CHN-CNNIC,,A61472 ,"3,4",4,2,,,Cisco,3750,
Beijing-CHN-CNNIC,,A61472 ,"5,6",6,2,,,HP,ProLiant DL385 G7,
Beijing-CHN-CNNIC,,A61472 ,"7,8",8,2,,,HP,ProLiant DL385 G7,
Beijing-CHN-CNNIC,,A61472 ,"9,10",10,2,,,HP,ProLiant DL385 G7,
Beijing-CHN-CNNIC,,A61472 ,"11,12",12,2,,,HP,ProLiant DL385 G7,
Beijing-CHN-CNNIC,,A61472 ,"13,14",14,2,,,ARBOR,Pravail APS 2000,
Beijing-CHN-CNNIC,,A61472 ,"15,16",16,2,,,HP,ProLiant DL385 G7,
Beijing-CHN-CNNIC,,A61472 ,"17,18",18,2,,,HP,ProLiant DL385 G7,
McLean-VA-EQIX-DC7,,103,1,1,1,,abkvm1,Dell,,
McLean-VA-EQIX-DC7,,103,22,22,1,,,TRIPP- LITE,,
McLean-VA-EQIX-DC7,,103,"27,28",28,2,,abwebutil,Dell,E02S,
McLean-VA-EQIX-DC7,,103,36,36,1,,,SourceFire,,
McLean-VA-EQIX-DC7,,103,42,42,1,,,Cisco,Catalyst 2960G,
McLean-VA-EQIX-DC7,,103,44,44,1,,,Cisco,Catalyst 3750G,
McLean-VA-EQIX-DC7,,103,45,45,1,,,Cisco,Catalyst 3750G,
McLean-VA-EQIX-DC7,,104,"21,22",22,2,,abweb2,Dell,Power Edge R710,
McLean-VA-EQIX-DC7,,104,"23,24",24,2,,abweb1,Dell,Power Edge R710,
McLean-VA-EQIX-DC7,,104,"25,26",26,2,,abweb4,Dell,Power Edge R720,
McLean-VA-EQIX-DC7,,104,"27,28",28,2,,abweb3,Dell,Power Edge R720,
McLean-VA-EQIX-DC7,,104,30,30,1,,internal,Dell,Power Edge R610,
McLean-VA-EQIX-DC7,,104,31,31,1,,external,Dell,Power Edge R610,
McLean-VA-EQIX-DC7,,104,32,32,1,,,F5,3600,
McLean-VA-EQIX-DC7,,104,"33,34,35,36",36,4,,,F5,Viprion C2400,
McLean-VA-EQIX-DC7,,104,"42,43",43,2,,,Cisco,2921,
McLean-VA-EQIX-DC7,,104,"44,45",45,2,,,Cisco,ASR 1002,
Palo Alto-CA-PXPA,,81015:0702  ,,,,on,,,,
Palo Alto-CA-PXPA,,81015:0702  ,,,,on,mrv1pxpa,,,
Palo Alto-CA-PXPA,,81015:0702  ,,,,on,sw1pxpa,,,
Palo Alto-CA-PXPA,,81015:0702  ,,,,on,mxb1pxpa,,,
Palo Alto-CA-PXPA,,81015:0702  ,,,,on,xfr1pxpa,,,
Palo Alto-CA-PXPA,,81015:0702  ,,,,on,adm1n1pxpa,,,
Palo Alto-CA-PXPA,,81015:0702  ,,,,on,udns6pxpa,,,
Palo Alto-CA-PXPA,,81015:0702  ,,,,off,,,,
Palo Alto-CA-PXPA,,81015:0702  ,,,,on,lb4pxpa,,,
Palo Alto-CA-PXPA,,81015:0702  ,,,,on,lb3pxpa,,,
Palo Alto-CA-PXPA,,81015:0702  ,,,,on,logc1pxpa,,,
Palo Alto-CA-PXPA,,81015:0702  ,,,,on,neteng1pxpa,,,
Palo Alto-CA-PXPA,,81015:0702  ,,,,on,pcap2pxpa,,,
Palo Alto-CA-PXPA,,81015:0702  ,,,,on,pcap1pxpa,,,
Palo Alto-CA-PXPA,,81015:1210 ,,,,off,leafdb4pxpa,,,
Palo Alto-CA-PXPA,,81015:1210 ,,,,off,leafdb3pxpa,,,
Palo Alto-CA-PXPA,,81015:1211 ,,,,off,rtrpxpa,,,
Palo Alto-CA-PXPA,,81015:1211 ,,,,on,udns3pxpa,,,
Palo Alto-CA-PXPA,,81015:1211 ,,,,on,mrv2pxpa,,,
Palo Alto-CA-PXPA,,81015:1211 ,,,,on,,HP,ProLiant DL385 G5,
Palo Alto-CA-PXPA,,81015:1211 ,,,,on,weblb2pxpa,,,
Palo Alto-CA-PXPA,,81015:1211 ,,,,on,tldsec2xpa,,,
Palo Alto-CA-PXPA,,81015:1211 ,,,,on,api2pxpa,,,
Palo Alto-CA-PXPA,,81015:1211 ,,,,on,cdb1pxpa,,,
Palo Alto-CA-PXPA,,81015:1211 ,,,,off,leafdb4pxpa ,,,
Palo Alto-CA-PXPA,,81015:1211 ,,,,on,ftp1eqsj,,,
Palo Alto-CA-PXPA,,81015:1211 ,,,,on,weblb1pxpa,,,
Palo Alto-CA-PXPA,,81015:1211 ,,,,on,tldsec1pxpa,,,
Palo Alto-CA-PXPA,,81015:1212 ,,,,on,sansw1pxpa,,,
Palo Alto-CA-PXPA,,81015:1212 ,,,,on,sansw2pxpa,,,
Palo Alto-CA-PXPA,,81015:1212 ,,,,off,monxm1pxpa,,,
Palo Alto-CA-PXPA,,81015:1212 ,,,,on,cdb1pxpa,,,
Palo Alto-CA-PXPA,,81015:1212 ,,,,on,leafdb4pxpa,,,
Palo Alto-CA-PXPA,,81015:1212 ,,,,off,signer2pxpa,,,
Palo Alto-CA-PXPA,,81015:1212 ,,,,off,cassandra1pxpa,,,
Palo Alto-CA-PXPA,,81015:1212 ,,,,off,signer1pxpa,,,
Palo Alto-CA-PXPA,,81015:1212 ,,,,off,cassandra2pxpa,,,
Palo Alto-CA-PXPA,,81015:1212 ,,,,on,cx1bpxpa,,,
Palo Alto-CA-PXPA,,82020:0702,,,,on,sw4pxpa,,,
Palo Alto-CA-PXPA,,82020:0702,,,,on,mrv4pxpa,,,
Palo Alto-CA-PXPA,,82020:0702,,,,off,mrv5pxpa,,,
Palo Alto-CA-PXPA,,82020:0702,,,,on,dnsawp2pxpa,,,
Palo Alto-CA-PXPA,,82020:0702,,,,off,swspxpa,,,
Palo Alto-CA-PXPA,,82020:0702,,,,on,dnsawp1pxpa,,,
Palo Alto-CA-PXPA,,82020:0702,,,,off,dnsamdb1pxpa,,,
Palo Alto-CA-PXPA,,82020:0702,,,,on,sbm1pxpa,,,
Palo Alto-CA-PXPA,,82020:0702,,,,on,sba1pxpa,,,
Palo Alto-CA-PXPA,,82020:0702,,,,off,sshgwpxpa,,,
Palo Alto-CA-PXPA,,82020:0702,,,,off,monxm2pxpa,,,
Palo Alto-CA-PXPA,,82020:0702,,,,on,dnsacp1pxpa,,,
Palo Alto-CA-PXPA,,82020:0702,,,,on,wedcrs2pxpa,,,
Palo Alto-CA-PXPA,,82020:0702,,,,off,wedcrs1pxpa,,,
Palo Alto-CA-PXPA,,82020:0702,,,,on,api1pxpa,,,
Palo Alto-CA-PXPA,,82020:0702,,,,off,ds1pxpa,,,
Palo Alto-CA-PXPA,,82020:0702,,,,on,ui1pxpa,,,
Palo Alto-CA-PXPA,,82020:1802,,,,on,sba1pxpa,,,
Palo Alto-CA-PXPA,,82020:1802,,,,on,sw3pxpa,,,
Palo Alto-CA-PXPA,,82020:1802,,,,on,sbm1pxpa,,,
Palo Alto-CA-PXPA,,82020:1802,,,,on,mrv3pxpa,,,
Palo Alto-CA-PXPA,,82020:1802,,,,off,sndu1pxpa,,,
Palo Alto-CA-PXPA,,82020:1802,,,,off,cds2pxpa,,,
Palo Alto-CA-PXPA,,82020:1802,,,,off,cds1pxpa,,,
Palo Alto-CA-PXPA,,82020:1802,,,,off,ntap1pxpa,,,
Palo Alto-CA-PXPA,,82020:1802,,,,off,ntap2pxpa,,,
Palo Alto-CA-PXPA,,82020:1802,,,,on,xfr2pxpa,,,
Palo Alto-CA-PXPA,,82020:1802,,,,on,mxb2pxpa,,,
Palo Alto-CA-PXPA,,82020:1802,,,,on,rdns2pxpa,,,
Palo Alto-CA-PXPA,,82020:1802,,,,on,rdns3pxpa,,,
Palo Alto-CA-PXPA,,82020:1802,,,,on,rr1pxpa,,,
Palo Alto-CA-PXPA,,82020:1802,,,,on,tms1pxpa,,,
Palo Alto-CA-PXPA,,82020:1802,,,,on,,Juniper,M120,
New York-NY-PAIX,,401,,,,off,ddosapp2pxny,,,
New York-NY-PAIX,,401,,,,off,ddosapp1pxny ,,,
New York-NY-PAIX,,401,,,,on,pcap1pxny ,,,
New York-NY-PAIX,,401,,,,on,udns1pxny ,,,
New York-NY-PAIX,,401,,,,on,pcap2pxny ,,,
New York-NY-PAIX,,401,,,,on,sfdb1pxny ,,,
New York-NY-PAIX,,401,,,,off,webcrs2pxny ,,,
New York-NY-PAIX,,401,,,,on,cdb1pxny,,,
New York-NY-PAIX,,401,,,,on,sbm1pxny ,,,
New York-NY-PAIX,,401,,,,on,sba1pxny ,,,
New York-NY-PAIX,,401,,,,on,axfr1pxny ,,,
New York-NY-PAIX,,401,,,,on,xfr2pxny ,,,
New York-NY-PAIX,,401,,,,on,mddisshgw1pxny ,,,
New York-NY-PAIX,,401,,,,on,singer2pxny ,,,
New York-NY-PAIX,,401,,,,on,singer1pxny ,,,
New York-NY-PAIX,,401,,,,on,mowxm1pxny ,,,
New York-NY-PAIX,,401,,,,off,ui2pxny ,,,
New York-NY-PAIX,,301,,,,on,sbm1pxny ,,,
New York-NY-PAIX,,301,,,,on,admin1pxny,,,
New York-NY-PAIX,,301,,,,on,crs1pxny ,,,
New York-NY-PAIX,,301,,,,on,vpn1pxny ,,,
New York-NY-PAIX,,301,,,,off,webcrs1pxny ,,,
New York-NY-PAIX,,301,,,,on,cdb1pxny ,,,
New York-NY-PAIX,,301,,,,on,mddipr1pxny ,,,
New York-NY-PAIX,,301,,,,on,tldsec2pxny ,,,
New York-NY-PAIX,,301,,,,on,api1pxny ,,,
New York-NY-PAIX,,301,,,,on,rdns3pxny ,,,
New York-NY-PAIX,,301,,,,on,sndu1pxny,,,
New York-NY-PAIX,,301,,,,on,tldsec1pxny ,,,
New York-NY-PAIX,,301,,,,on,leafdb4pxny ,,,
New York-NY-PAIX,,301,,,,off,ui4pxny ,,,
New York-NY-PAIX,,301,,,,on,ui3pxny ,,,
New York-NY-PAIX,,301,,,,on,logic1pxny ,,,
New York-NY-PAIX,,301,,,,on,sans1pxny ,,,
New York-NY-PAIX,,301,,,,on,sans2pxny ,,,
New York-NY-PAIX,,301,,,,on,cx1bpxny ,,,
New York-NY-PAIX,,301,,,,on,nsr1e1.f ,,,
New York-NY-PAIX,,301,,,,on,nsr1e2.f ,,,
New York-NY-PAIX,,106,,,,on,tms1pxny,,,
New York-NY-PAIX,,106,,,,on,rr1pxny ,,,
New York-NY-PAIX,,106,,,,off,cds2pxny ,,,
New York-NY-PAIX,,106,,,,off,cds1pxny ,,,
New York-NY-PAIX,,106,,,,off,ssba1eqsj ,,,
New York-NY-PAIX,,101,,,,off,ui4pxny ,,,
New York-NY-PAIX,,101,,,,off,ui3pxny ,,,
New York-NY-PAIX,,101,,,,on,logic1pxny ,,,
New York-NY-PAIX,,101,,,,on,sans1pxny ,,,
New York-NY-PAIX,,101,,,,on,sans2pxny ,,,
New York-NY-PAIX,,101,,,,on,cx1bpxny ,,,
New York-NY-PAIX,,101,,,,on,nsr1e1.f ,,,
New York-NY-PAIX,,101,,,,on,nsr1e2.f ,,,
Amsterdam-NLD-Telecity-1,,214,25,25,1,,atnrppqdb3,HP,ProLiant DL360p G8,
Amsterdam-NLD-Telecity-1,,214,23,23,1,,atnrppqdb4,HP,ProLiant DL360p G8,
Amsterdam-NLD-Telecity-1,,214,"19,20",20,2,,atnrq2200la1,A10,AX2200,
Amsterdam-NLD-Telecity-1,,214,"17,18",18,2,,atnrq2200la2,A10,AX2200,
Amsterdam-NLD-Telecity-1,,215,"38,39,40",40,3,,atnrq3845b,Cisco,3845-MB,
Amsterdam-NLD-Telecity-1,,215,"33,34,35,36,37",37,5,,atnrq6504b,Cisco,WS-C6504E,
Amsterdam-NLD-Telecity-1,,215,32,32,1,,atnrq5550a2,Cisco,ASA 5550,
Amsterdam-NLD-Telecity-1,,215,31,31,1,,atnrq5550b2,Cisco,ASA 5550,
Amsterdam-NLD-Telecity-1,,215,"26,27,28,29,30",30,5,,atnrq11506a2,Cisco,11500,
Amsterdam-NLD-Telecity-1,,215,23,23,1,,antrpprqdb2,HP,ProLiant DL360p G5,
Amsterdam-NLD-Telecity-1,,215,21,21,1,,antrpprqen2,HP,ProLiant DL360p G5,
Amsterdam-NLD-Telecity-1,,215,20,20,1,,antrpprqen4,HP,ProLiant DL360p G5,
Amsterdam-NLD-Telecity-1,,215,18,18,1,,atgspprxm2,HP,ProLiant DL360p G7,
Amsterdam-NLD-Telecity-1,,215,17,17,1,,atnrpprzt2,HP,ProLiant DL360p G5,
Amsterdam-NLD-Telecity-1,,215,"15,16",16,2,,,SUN,X4270,
Amsterdam-NLD-Telecity-1,,216,"38,39,40",40,3,,atnrq3845a,Cisco,3845-MB,
Amsterdam-NLD-Telecity-1,,216,"33,34,35,36,37",37,5,,atnrq6504a,Cisco,WS-C6504E,
Amsterdam-NLD-Telecity-1,,216,32,32,1,,atnrq5550a1,Cisco,ASA 5550,
Amsterdam-NLD-Telecity-1,,216,31,31,1,,atnrq5550b1,Cisco,ASA 5550,
Amsterdam-NLD-Telecity-1,,216,"26,27,28,29,30",30,5,,atnrq11506a1,Cisco,11500,
Amsterdam-NLD-Telecity-1,,216,24,24,1,,atnrqcon1,DIGI,CM16,
Amsterdam-NLD-Telecity-1,,216,23,23,1,,atnrpprqdb1,HP,ProLiant DL360p G5,
Amsterdam-NLD-Telecity-1,,216,21,21,1,,atnrppren1,HP,ProLiant DL360p G5,
Amsterdam-NLD-Telecity-1,,216,20,20,1,,atnrppren3,HP,ProLiant DL360p G5,
Amsterdam-NLD-Telecity-1,,216,18,18,1,,atgspprxm1,HP,ProLiant DL360p G7,
Amsterdam-NLD-Telecity-1,,216,17,17,1,,atnrpprzt1,HP,ProLiant DL360p G5,
Amsterdam-NLD-Telecity-1,,217,39,39,1,,atnrpprbk1,HP,ProLiant DL360p G5,
