Location,Cage,Cabinet,Rack Units,Elevation,Number of Rack Units,Power Status,FQDN,Manufacturer,Model,Serial Number,Asset Tag,Busines Service,Type of Power,Voltage,Comments
Amsterdam-NLD-Telecity-1,,218,"39,40",40,2,,antrp3845b,Cisco,3845-MB,
Amsterdam-NLD-Telecity-1,,218,"33,34,35,36,37",37,5,,atnrq6504b,Cisco,WS-C6504E,
Amsterdam-NLD-Telecity-1,,218,32,32,1,,atnrpb5550a2,Cisco,ASA 5550,
Amsterdam-NLD-Telecity-1,,218,31,31,1,,atnrpb5550b2,Cisco,ASA 5550,
Amsterdam-NLD-Telecity-1,,218,"26,27,28,29,30",30,5,,atnrq11506a,Cisco,11500,
Amsterdam-NLD-Telecity-1,,218,23,23,1,,atnrpprmdb2,HP,ProLiant DL360p G5,
Amsterdam-NLD-Telecity-1,,218,21,21,1,,atnrpprmfs1,HP,ProLiant DL360p G5,
Amsterdam-NLD-Telecity-1,,218,19,19,1,,atnrpprmwb2,HP,ProLiant DL360p G5,
Amsterdam-NLD-Telecity-1,,218,17,17,1,,atnrpprmst1,HP,ProLiant DL360p G5,
Amsterdam-NLD-Telecity-1,,218,"14,15",15,2,,atnrpprcdb2,HP,ProLiant DL360p G5,
Amsterdam-NLD-Telecity-1,,218,"10,12,13",13,3,,atnrpprmdb10,HP,ProLiant DL360p G5,
Amsterdam-NLD-Telecity-1,,219,"38,39,40",40,3,,atnrp6504a,Cisco,WS-C6504E,
Amsterdam-NLD-Telecity-1,,219,32,32,1,,atnr5550a1,Cisco,ASA 5550,
Amsterdam-NLD-Telecity-1,,219,31,31,1,,atnr5550b1,Cisco,ASA 5550,
Amsterdam-NLD-Telecity-1,,219,"26,27,28,29,30",30,5,,atnrp11506a1,Cisco,11500,
Amsterdam-NLD-Telecity-1,,219,24,24,1,,atnrpcon1,DIGI,CM16,
Amsterdam-NLD-Telecity-1,,219,23,23,1,,atnrpprmdb1,HP,ProLiant DL360p G5,
Amsterdam-NLD-Telecity-1,,219,21,21,1,,atnrpprcdb1,HP,ProLiant DL360p G5,
Amsterdam-NLD-Telecity-1,,219,19,19,1,,atnrpprrwb1,HP,ProLiant DL360p G5,
Amsterdam-NLD-Telecity-1,,219,17,17,1,,atnrpprrlp1,HP,ProLiant DL360p G5,
Amsterdam-NLD-Telecity-1,,219,"10,11,12,13,14,15",15,5,,atnrpprmdb11,HP,ProLiant DL360p G5,
Santa Clara-CA-Savvis,,02.2345.D07,43,43,1,,scmgmt05,,,
Santa Clara-CA-Savvis,,02.2345.D07,41,41,1,,scco7124sa,,,
Santa Clara-CA-Savvis,,02.2345.D07,"39,40",40,2,,,Super Micro ,2U,
Santa Clara-CA-Savvis,,02.2345.D07,"37,38",38,2,,,Super Micro ,2U,
Santa Clara-CA-Savvis,,02.2345.D07,"35,36",36,2,,,Super Micro ,2U,
Santa Clara-CA-Savvis,,02.2345.D07,"33,34",34,2,,,Super Micro ,2U,
Santa Clara-CA-Savvis,,02.2345.D07,"31,32",32,2,,,Super Micro ,2U,
Santa Clara-CA-Savvis,,02.2345.D07,"29,30",30,2,,,Super Micro ,2U,
Santa Clara-CA-Savvis,,02.2345.D07,"27,28",28,2,,,Super Micro ,2U,
Santa Clara-CA-Savvis,,02.2345.D07,"25,26",26,2,,,Super Micro ,2U,
Santa Clara-CA-Savvis,,02.2345.D07,"21,22",22,2,,,Super Micro ,2U,
Santa Clara-CA-Savvis,,02.2345.D08,42,42,1,,scco7124sb,,,
Santa Clara-CA-Savvis,,02.2345.D09,41,41,1,,scco7148sa,,,
Santa Clara-CA-Savvis,,02.2345.D10,"39,40",40,2,,,Super Micro ,2U,
Santa Clara-CA-Savvis,,02.2345.D11,"37,38",38,2,,,Super Micro ,2U,
Santa Clara-CA-Savvis,,02.2345.D12,"35,36",36,2,,,Super Micro ,2U,
Santa Clara-CA-Savvis,,02.2345.D13,"33,34",34,2,,,Super Micro ,2U,
Santa Clara-CA-Savvis,,02.2345.D14,"31,32",32,2,,,Super Micro ,2U,
Santa Clara-CA-Savvis,,02.2345.D15,"29,30",30,2,,,Super Micro ,2U,
Santa Clara-CA-Savvis,,02.2345.D16,"27,28",28,2,,,Super Micro ,2U,
Santa Clara-CA-Savvis,,02.2345.D17,"25,26",26,2,,,Super Micro ,2U,
Santa Clara-CA-Savvis,,02.2345.D18,"23,24",24,2,,,Super Micro ,2U,
Santa Clara-CA-Savvis,,02.2345.D19,"21,22",22,2,,,Super Micro ,2U,
Santa Clara-CA-Savvis,,02.2345.C02,41,41,1,,scco7124se,,,
Santa Clara-CA-Savvis,,02.2345.C02,"37,38",38,2,,server-helium 62,,,
Santa Clara-CA-Savvis,,02.2345.C02,"35,36",36,2,,server-helium 64,,,
Santa Clara-CA-Savvis,,02.2345.C02,"33,34",34,2,,server-helium 66,,,
Santa Clara-CA-Savvis,,02.2345.C02,"31,32",32,2,,server-helium 68,,,
Santa Clara-CA-Savvis,,02.2345.C02,"29,30",30,2,,server-helium 70,,,
Santa Clara-CA-Savvis,,02.2345.C02,"27,28",28,2,,server-helium 72,,,
Santa Clara-CA-Savvis,,02.2345.C02,"25,26",26,2,,server-helium 74,,,
Santa Clara-CA-Savvis,,02.2345.C02,"23,24",24,2,,server-helium 76,,,
Santa Clara-CA-Savvis,,02.2345.C02,"21,22",22,2,,server-helium 78,,,
Santa Clara-CA-Savvis,,02.2345.C02,"19,20",20,2,,server-helium 80,,,
Santa Clara-CA-Savvis,,02.2345.C03,42,42,1,,,Brocade,FCX6485,
Santa Clara-CA-Savvis,,02.2345.C03,41,41,1,,scco7124sf,,,
Santa Clara-CA-Savvis,,02.2345.C03,40,40,1,,,Brocade,FCX6485,
Santa Clara-CA-Savvis,,02.2345.C03,39,39,1,,,Brocade,FCX6485,
Santa Clara-CA-Savvis,,02.2345.C03,38,38,1,,server - vm10,,,
Santa Clara-CA-Savvis,,02.2345.C03,36,36,1,,server - vm12,,,
Santa Clara-CA-Savvis,,02.2345.C03,34,34,1,,server - vm14,,,
Santa Clara-CA-Savvis,,02.2345.C03,"30,31",31,2,,research01,,,
Santa Clara-CA-Savvis,,02.2345.C03,"28,29",29,2,,research02,,,
Santa Clara-CA-Savvis,,02.2345.C03,"26,27",27,2,,research03,,,
Santa Clara-CA-Savvis,,02.2345.C03,24,24,1,,,HP,ProLiant DL360p G8,
Santa Clara-CA-Savvis,,02.2345.C03,22,22,1,,,HP,ProLiant DL360p G8,
Santa Clara-CA-Savvis,,02.2345.C03,20,20,1,,,HP,ProLiant DL360p G8,
Santa Clara-CA-Savvis,,02.2345.C03,18,18,1,,,HP,ProLiant DL360p G8,
Santa Clara-CA-Savvis,,02.2345.D09,42,42,1,,scco7124sc,,,
Santa Clara-CA-Savvis,,02.2345.D09,41,41,1,,hellion021,,,
Santa Clara-CA-Savvis,,02.2345.D09,40,40,1,,hellion022,,,
Santa Clara-CA-Savvis,,02.2345.D09,39,39,1,,hellion023,,,
Santa Clara-CA-Savvis,,02.2345.D09,38,38,1,,hellion024,,,
Santa Clara-CA-Savvis,,02.2345.D09,37,37,1,,hellion025,,,
Santa Clara-CA-Savvis,,02.2345.D09,36,36,1,,hellion026,,,
Santa Clara-CA-Savvis,,02.2345.D09,35,35,1,,hellion027,,,
Santa Clara-CA-Savvis,,02.2345.D09,34,34,1,,hellion028,,,
Santa Clara-CA-Savvis,,02.2345.D09,33,33,1,,hellion029,,,
Santa Clara-CA-Savvis,,02.2345.D09,32,32,1,,hellion030,,,
Santa Clara-CA-Savvis,,02.2345.D09,31,31,1,,hellion031,,,
Santa Clara-CA-Savvis,,02.2345.D09,30,30,1,,hellion032,,,
Santa Clara-CA-Savvis,,02.2345.D09,29,29,1,,hellion033,,,
Santa Clara-CA-Savvis,,02.2345.D09,28,28,1,,hellion034,,,
Santa Clara-CA-Savvis,,02.2345.D09,27,27,1,,hellion035,,,
Santa Clara-CA-Savvis,,02.2345.D09,26,26,1,,hellion036,,,
Santa Clara-CA-Savvis,,02.2345.D09,25,25,1,,hellion037,,,
Santa Clara-CA-Savvis,,02.2345.D09,24,24,1,,hellion038,,,
Santa Clara-CA-Savvis,,02.2345.D09,23,23,1,,hellion039,,,
Santa Clara-CA-Savvis,,02.2345.D09,22,22,1,,hellion040,,,
Santa Clara-CA-Savvis,,02.2345.D10,43,43,1,,scmgmt6,,,
Santa Clara-CA-Savvis,,02.2345.D10,42,42,1,,scco7124sd,,,
Santa Clara-CA-Savvis,,02.2345.D10,41,41,1,,hellion041,,,
Santa Clara-CA-Savvis,,02.2345.D10,40,40,1,,hellion042,,,
Santa Clara-CA-Savvis,,02.2345.D10,39,39,1,,hellion043,,,
Santa Clara-CA-Savvis,,02.2345.D10,38,38,1,,hellion044,,,
Santa Clara-CA-Savvis,,02.2345.D10,37,37,1,,hellion045,,,
Santa Clara-CA-Savvis,,02.2345.D10,36,36,1,,hellion046,,,
Santa Clara-CA-Savvis,,02.2345.D10,35,35,1,,hellion047,,,
Santa Clara-CA-Savvis,,02.2345.D10,34,34,1,,hellion048,,,
Santa Clara-CA-Savvis,,02.2345.D10,33,33,1,,hellion049,,,
Santa Clara-CA-Savvis,,02.2345.D10,32,32,1,,hellion050,,,
Santa Clara-CA-Savvis,,02.2345.D10,31,31,1,,hellion051,,,
Santa Clara-CA-Savvis,,02.2345.D10,30,30,1,,hellion052,,,
Santa Clara-CA-Savvis,,02.2345.D10,29,29,1,,hellion053,,,
Santa Clara-CA-Savvis,,02.2345.D10,28,28,1,,hellion054,,,
Santa Clara-CA-Savvis,,02.2345.D10,27,27,1,,hellion055,,,
Santa Clara-CA-Savvis,,02.2345.D10,26,26,1,,hellion056,,,
Santa Clara-CA-Savvis,,02.2345.D10,25,25,1,,hellion057,,,
Santa Clara-CA-Savvis,,02.2345.D10,24,24,1,,hellion058,,,
Santa Clara-CA-Savvis,,02.2345.D10,23,23,1,,hellion059,,,
Santa Clara-CA-Savvis,,02.2345.D10,22,22,1,,hellion060,,,
Santa Clara-CA-Savvis,,02.2345.C04,42,42,1,,,Brocade,,
Santa Clara-CA-Savvis,,02.2345.C04,41,41,1,,scco7124sg,,,
Santa Clara-CA-Savvis,,02.2345.C04,38,38,1,,server - vm11,,,
Santa Clara-CA-Savvis,,02.2345.C04,36,36,1,,server - vm11,,,
Santa Clara-CA-Savvis,,02.2345.C04,34,34,1,,server - vm11,,,
Santa Clara-CA-Savvis,,02.2345.C04,"31,32",32,2,,,HP,ProLiant DL360p G8,
Santa Clara-CA-Savvis,,02.2345.C04,"28,29",29,2,,,HP,ProLiant DL360p G8,
Santa Clara-CA-Savvis,,02.2345.C04,"25,26",26,2,,,HP,ProLiant DL360p G8,
Santa Clara-CA-Savvis,,02.2345.C04,"22,23",23,2,,standby02,Dell,Power Edge R710,
Santa Clara-CA-Savvis,,02.2345.C04,"20,21",21,2,,,Dell,Power Edge R710,
Santa Clara-CA-Savvis,,02.2345.C05,41,41,1,,scco7124si,,,
Santa Clara-CA-Savvis,,02.2345.C05,42,42,1,,scmgmt08,Brocade,FastIron,
Santa Clara-CA-Savvis,,02.2345.C05,"21,22,23,24",24,4,,,Super Micro ,4U,
Santa Clara-CA-Savvis,,02.2345.C05,"17,18,19,20",20,4,,,Super Micro ,4U,
Santa Clara-CA-Savvis,,02.2345.C05,"13,14,15,16",16,4,,,Super Micro ,4U,
Santa Clara-CA-Savvis,,02.2345.C05,"9,10,11,12",12,4,,,Super Micro ,4U,
Santa Clara-CA-Savvis,,02.2345.C05,"5,6,7,8",8,4,,,Super Micro ,4U,
Santa Clara-CA-Savvis,,02.2345.C01,37,37,1,,gigamon gigavue-212,,,
Santa Clara-CA-Savvis,,02.2345.C01,36,36,1,,sc-fe-mps01,,,
Santa Clara-CA-Savvis,,02.2345.C01,35,35,1,,forescout,,,
Santa Clara-CA-Savvis,,02.2345.C01,"32,33",33,2,,scun1002b,Cisco,ASR 1002X,
Santa Clara-CA-Savvis,,02.2345.C01,"30,31",31,2,,scun1002a,Cisco,ASR 1002X,
Santa Clara-CA-Savvis,,02.2345.C01,28,28,1,,scih1001a,,,
Santa Clara-CA-Savvis,,02.2345.C06,42,42,1,,sclab2960sa,,,
Santa Clara-CA-Savvis,,02.2345.C06,41,41,1,,scmgmt09,,,
Santa Clara-CA-Savvis,,02.2345.C06,27,27,1,,vmhost3,,,
Santa Clara-CA-Savvis,,02.2345.C06,26,26,1,,,Dell,Power Edge R300,
Santa Clara-CA-Savvis,,02.2345.C06,"24,25",25,2,,build01,,,
Santa Clara-CA-Savvis,,02.2345.C06,"22,23",23,2,,qvm01,,,
Santa Clara-CA-Savvis,,02.2345.C06,"20,21",21,2,,opstest01,,,
Santa Clara-CA-Savvis,,02.2345.C06,"18,19",19,2,,qatest01,,,
Santa Clara-CA-Savvis,,02.2345.C06,17,17,1,,platformqa01,,,
Santa Clara-CA-Savvis,,02.2345.C06,"15,16",16,2,,,Super Micro ,2U,
Santa Clara-CA-Savvis,,02.2345.C06,"13,14",14,2,,,Super Micro ,2U,
Santa Clara-CA-Savvis,,02.2345.C06,"9,10",10,2,,leafdb1eqsj,,,
Santa Clara-CA-Savvis,,02.2345.C06,8,8,1,,geoadmin,,,
Santa Clara-CA-Savvis,,02.2345.C06,7,7,1,,,Super Micro ,1U,
Santa Clara-CA-Savvis,,02.2345.C06,6,6,1,,,Super Micro ,1U,
Santa Clara-CA-Savvis,, 02.2345.A01,35,35,1,,nasswitch01,Brocade,5000,
Santa Clara-CA-Savvis,, 02.2345.A01,34,34,1,,nasswitch02,Brocade,5000,
Santa Clara-CA-Savvis,, 02.2345.A01,29,29,1,,sqlclus-02,Dell,Power Edge 1950,
Santa Clara-CA-Savvis,, 02.2345.A01,28,28,1,,sqlclus-01,Dell,Power Edge 1950,
Santa Clara-CA-Savvis,, 02.2345.A01,"26,27",27,2,,leafdb2eqsj,HP,ProLiant DL385 G6,
Santa Clara-CA-Savvis,, 02.2345.A01,"24,25",25,2,,rac05,Super Micro ,,
Santa Clara-CA-Savvis,, 02.2345.A01,"14,15,16,17,18,19,20,21,22,23",23,10,,,EMC,DD4200,
Santa Clara-CA-Savvis,, 02.2345.A01,"12,13",13,2,,vm01,Super Micro ,,
Santa Clara-CA-Savvis,, 02.2345.A01,"10,11",11,2,,vm02,Super Micro ,,
Santa Clara-CA-Savvis,, 02.2345.A02 ,36,36,1,,scco7124sh,Arista,7124SX,
Santa Clara-CA-Savvis,, 02.2345.A02 ,33,33,1,,nasswitch01,Brocade,5100,
Santa Clara-CA-Savvis,, 02.2345.A02 ,32,32,1,,nasswitch02,Brocade,5100,
Santa Clara-CA-Savvis,, 02.2345.A02 ,"28,29",29,2,,grid08,Dell,Power Edge R710,
Santa Clara-CA-Savvis,, 02.2345.A02 ,"26,27",27,2,,grid07,Dell,Power Edge R710,
Santa Clara-CA-Savvis,, 02.2345.A02 ,"24,25",25,2,,grid06,Dell,Power Edge R710,
Santa Clara-CA-Savvis,, 02.2345.A02 ,"22,23",23,2,,grid05,Dell,Power Edge R710,
Santa Clara-CA-Savvis,, 02.2345.A02 ,"20,21",21,2,,grid04,Dell,Power Edge R710,
Santa Clara-CA-Savvis,, 02.2345.A02 ,"19,18",19,2,,grid03,Dell,Power Edge R710,
Santa Clara-CA-Savvis,, 02.2345.A02 ,"16,17",17,2,,grid02,Dell,Power Edge R710,
Santa Clara-CA-Savvis,, 02.2345.A02 ,"14,15",15,2,,grid01,Dell,Power Edge R710,
Santa Clara-CA-Savvis,,02.2345.A03,"35,36",36,2,,,Dell,Power Edge R710,
Santa Clara-CA-Savvis,,02.2345.A03,"21,22,23,24,25,26,27,28,29,30,31,32,33,34",34,14,,,Quantum,i500,
Santa Clara-CA-Savvis,,02.2345.A03,"19,20",20,2,,,Data Domain,DD676,
Santa Clara-CA-Savvis,,02.2345.A03,"16,17,18",18,3,,,Data Domain,,
Santa Clara-CA-Savvis,,02.2345.A03,15,15,1,,,Dell,Power Edge 850,
Santa Clara-CA-Savvis,,02.2345.A03,14,14,1,,quovaussc4,Dell,Power Edge 850,
Santa Clara-CA-Savvis,,02.2345.A03,"12,13",13,2,,,Dell,Power Edge 2650,
Santa Clara-CA-Savvis,,02.2345.A03,"9,10,11",11,3,,,Data Domain,,
Santa Clara-CA-Savvis,,02.2345.A03,8,8,1,,,SourceFire,,
Santa Clara-CA-Savvis,,02.2345.A03,7,7,1,,,,,
Santa Clara-CA-Savvis,,02.2345.A04,"26,27",27,2,,scmgmt01,Cisco,Catalyst 2948g,
Santa Clara-CA-Savvis,,02.2345.A04,23,23,1,,scabovenet,Cisco,Catalyst 4948,
Santa Clara-CA-Savvis,,02.2345.A04,22,22,1,,mvc3600a,Aruba,,
Santa Clara-CA-Savvis,,02.2345.A04,21,21,1,,,Cisco,2800,
Santa Clara-CA-Savvis,,02.2345.A04,20,20,1,,,Gigamon,,
Santa Clara-CA-Savvis,,02.2345.A04,19,19,1,,,Qualys Guard,,
Santa Clara-CA-Savvis,,02.2345.A04,18,18,1,,cco4948sa,Cisco,Catalyst 4948,
Santa Clara-CA-Savvis,,02.2345.A04,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",15,15,,scco6509a core-1,Cisco,6500,
Santa Clara-CA-Savvis,,02.2345.A05,"26,27",27,2,,scmgmt02,Cisco,,
Santa Clara-CA-Savvis,,02.2345.A05,22,22,1,,mvco3600b,Aruba,,
Santa Clara-CA-Savvis,,02.2345.A05,21,21,1,,scmgmt03,Cisco,Catalyst 2900,
Santa Clara-CA-Savvis,,02.2345.A05,19,19,1,,,Media Exchange ,,
Santa Clara-CA-Savvis,,02.2345.A05,18,18,1,,scco4948sb,Cisco,Catalyst 4948,
Santa Clara-CA-Savvis,,02.2345.A05,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",15,15,,scco6509b core-2,Cisco,6500,
Santa Clara-CA-Savvis,,02.2345.A06,"34,35",35,2,,,Lantronix,,
Santa Clara-CA-Savvis,,02.2345.A06,30,30,1,,,Cisco,ASA,
Santa Clara-CA-Savvis,,02.2345.A06,29,29,1,,,Cisco,ASA,
Santa Clara-CA-Savvis,,02.2345.A06,28,28,1,,,Cisco,Catalyst 2960g,
Santa Clara-CA-Savvis,,02.2345.A06,27,27,1,,,Cisco,Catalyst 2960g,
Santa Clara-CA-Savvis,,02.2345.A06,"24,25,26",26,3,,,Cisco,,
Santa Clara-CA-Savvis,,02.2345.A06,"21,22,23",23,3,,,Cisco,,
Santa Clara-CA-Savvis,,02.2345.A06,19,19,1,,scmrvcon1,,,
Santa Clara-CA-Savvis,,02.2345.A06,18,18,1,,scco2900a,Cisco,2900,
Santa Clara-CA-Savvis,,02.2345.A06,17,17,1,,scco2900b,Cisco,2900,
Santa Clara-CA-Savvis,,02.2345.A06,15,15,1,,scco2900c,Cisco,2900,
Santa Clara-CA-Savvis,,02.2345.A06,"11,12,13,14",14,4,,scmrvcon2,,,
Santa Clara-CA-Savvis,,02.2345.A06,"9,10",10,2,,scih3825a,Cisco,3800,
Santa Clara-CA-Savvis,,02.2345.A06,"7,8",8,2,,stsc5075b,Checkpoint,,
Santa Clara-CA-Savvis,,02.2345.A06,"5,6",6,2,,stsc5075a,Checkpoint,,
Santa Clara-CA-Savvis,,02.2345.A06,3,3,1,,scco3560a,Cisco,3560g,
Santa Clara-CA-Savvis,,02.2345.A06,2,2,1,,scco3560b,Cisco,3560g,
Santa Clara-CA-Savvis,,02.2345.A07,"37,38",38,2,,sky01,Dell,Power Edge 2970,
Santa Clara-CA-Savvis,,02.2345.A07,"33,34",34,2,,,Sun Netra,T2000,
Santa Clara-CA-Savvis,,02.2345.A07,27,27,1,,,HP,ProLiant DL360p G8,
Santa Clara-CA-Savvis,,02.2345.A07,26,26,1,,dc03,Dell,Power Edge R300,
Santa Clara-CA-Savvis,,02.2345.A07,"23,24",24,2,,mb02,Dell,Power Edge 2950,
Santa Clara-CA-Savvis,,02.2345.A07,"20,21",21,2,,mb01,Dell,Power Edge 2950,
Santa Clara-CA-Savvis,,02.2345.A07,"18,19",19,2,,vc01.quova.com,HP,ProLiant DL385,
Santa Clara-CA-Savvis,,02.2345.A07,"16,17",17,2,,dataprod02,,,
Santa Clara-CA-Savvis,,02.2345.A07,"14,15",15,2,,ddbprod01,,,
Santa Clara-CA-Savvis,,02.2345.A07,"12,13",13,2,,ddbprod02,,,
Santa Clara-CA-Savvis,,02.2345.A08,"34,35",35,2,,systems02,Dell,Power Edge 2950,
Santa Clara-CA-Savvis,,02.2345.A08,33,33,1,,clover02,Dell,Power Edge R410,
Santa Clara-CA-Savvis,,02.2345.A08,32,32,1,,dm01,Dell,Power Edge R410,
Santa Clara-CA-Savvis,,02.2345.A08,29,29,1,,,Dell,Power Edge R620,
Santa Clara-CA-Savvis,,02.2345.A08,"27,28",28,2,,,Dell,Power Edge R720,
Santa Clara-CA-Savvis,,02.2345.A08,"25,26",26,2,,,Dell,Power Edge R720,
Santa Clara-CA-Savvis,,02.2345.A08,"23,24",24,2,,,Dell,Power Edge R810,
Santa Clara-CA-Savvis,,02.2345.A08,"21,22",22,2,,,Dell,Power Edge R810,
Santa Clara-CA-Savvis,,02.2345.A08,"19,20",20,2,,dev-db1,HP,ProLiant DL385,
Santa Clara-CA-Savvis,,02.2345.A08,"16,17",17,2,,dev-db1,HP,ProLiant DL385,
Santa Clara-CA-Savvis,,02.2345.A08,"14,15",15,2,,qa01,Dell,Power Edge 2950,
Santa Clara-CA-Savvis,,02.2345.A09,42,42,1,,scsc2500b,Juniper,,
Santa Clara-CA-Savvis,,02.2345.A09,39,39,1,,scih4948sb,Cisco,Catalyst 4948,
Santa Clara-CA-Savvis,,02.2345.A09,38,38,1,,scih1600la1,F5,,
Santa Clara-CA-Savvis,,02.2345.A09,37,37,1,,scgl1600la,F5,,
Santa Clara-CA-Savvis,,02.2345.A09,"35,36",36,2,,www01,Dell,Power Edge 2650,
Santa Clara-CA-Savvis,,02.2345.A09,34,34,1,,,HP,ProLiant DL360p G8,
Santa Clara-CA-Savvis,,02.2345.A09,33,33,1,,ws07,Dell,Power Edge 1950,
Santa Clara-CA-Savvis,,02.2345.A09,32,32,1,,ws08,Dell,Power Edge 1950,
Santa Clara-CA-Savvis,,02.2345.A09,"30,31",31,2,,download01 ocp,Dell,Power Edge 2650,
Santa Clara-CA-Savvis,,02.2345.A09,"28,29",29,2,,hv01.quova.com,Dell,Power Edge 2950,
Santa Clara-CA-Savvis,,02.2345.A09,27,27,1,,wsstats,Dell,Power Edge R300,
Santa Clara-CA-Savvis,,02.2345.A09,26,26,1,,tmobile02,Dell,Power Edge R300,
Santa Clara-CA-Savvis,,02.2345.A09,"24,25",25,2,,vm03,Dell,Power Edge R710,
Santa Clara-CA-Savvis,,02.2345.A09,"15,16,17,18,19,20,21,22",22,8,,,Array,,
Santa Clara-CA-Savvis,,02.2345.A10,41,41,1,,scsc2500a,Juniper,,
Santa Clara-CA-Savvis,,02.2345.A10,39,39,1,,scih4948sa,Cisco,Catalyst 4948,
Santa Clara-CA-Savvis,,02.2345.A10,38,38,1,,scih1600la2,F5,,
Santa Clara-CA-Savvis,,02.2345.A10,37,37,1,,sc1435-ns1,Dell,Power Edge ,
Santa Clara-CA-Savvis,,02.2345.A10,"35,36",36,2,,www02,Dell,Power Edge 2650,
Santa Clara-CA-Savvis,,02.2345.A10,34,34,1,,crmus-01,Dell,Power Edge 1950,
Santa Clara-CA-Savvis,,02.2345.A10,33,33,1,,ws05,Dell,Power Edge 1950,
Santa Clara-CA-Savvis,,02.2345.A10,32,32,1,,ws06,Dell,Power Edge 1950,
Santa Clara-CA-Savvis,,02.2345.A10,28,28,1,,geoipm05,,,
Santa Clara-CA-Savvis,,02.2345.A10,27,27,1,,geoipm06,,,
Santa Clara-CA-Savvis,,02.2345.A10,"24,25",25,2,,vm04,Dell,Power Edge R710,
Santa Clara-CA-Savvis,,02.2345.A10,17,17,1,,scmgmt04,Cisco,2960,
Santa Clara-CA-Savvis,,02.2345.A11,43,43,1,,scco2960sa,Cisco,2960,
